source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month
1,National,ENG,ENG,England,23 802 512,21 982 976,887 198,932 338,April
1,Region,Y56,E40000003,London,3 466 205,3 171 941,150 545,143 719,April
1,Region,Y58,E40000006,South West,2 654 970,2 465 204,88 472,101 294,April
1,Region,Y59,E40000005,South East,3 612 932,3 340 874,135 498,136 560,April
1,Region,Y60,E40000008,Midlands,4 497 029,4 146 040,180 353,170 636,April
1,Region,Y61,E40000007,East of England,2 777 680,2 598 683,81 576,97 421,April
1,Region,Y62,E40000010,North West,2 805 551,2 540 988,125 825,138 738,April
1,Region,Y63,E40000009,North East and Yorkshire,3 988 145,3 719 246,124 929,143 970,April
1,STP,QE1,E54000048,Healthier Lancashire And South Cumbria  STP,687 260,631 476,26 510,29 274,April
1,STP,QF7,E54000009,South Yorkshire And Bassetlaw  STP,659 632,613 174,23 876,22 582,April
1,STP,QGH,E54000019,Herefordshire And Worcestershire  STP,361 874,338 585,13 780,9 509,April
1,STP,QH8,E54000026,Mid And South Essex  STP,469 042,436 827,12 721,19 494,April
1,STP,QHG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",387 235,363 445,11 535,12 255,April
1,STP,QHL,E54000017,Birmingham And Solihull  STP,506 161,462 751,23 849,19 561,April
1,STP,QHM,E54000050,Cumbria And North East  STP,1 403 219,1 298 277,46 067,58 875,April
1,STP,QJ2,E54000012,Joined Up Care Derbyshire  STP,471 369,436 457,12 404,22 508,April
1,STP,QJG,E54000023,Suffolk And North East Essex  STP,443 741,415 586,12 264,15 891,April
1,STP,QJK,E54000037,Devon  STP,612 585,567 254,24 098,21 233,April
1,STP,QJM,E54000013,Lincolnshire  STP,325 859,304 987,10 662,10 210,April
1,STP,QK1,E54000015,"Leicester, Leicestershire And Rutland  STP",497 673,467 291,15 012,15 370,April
1,STP,QKK,E54000030,Our Healthier South East London  STP,659 951,592 432,32 606,34 913,April
1,STP,QKS,E54000032,Kent And Medway  STP,741 251,672 774,29 672,38 805,April
1,STP,QM7,E54000025,Hertfordshire And West Essex  STP,566 906,525 741,17 913,23 252,April
1,STP,QMF,E54000029,East London Health And Care Partnership  STP,763 305,694 486,36 409,32 410,April
1,STP,QMJ,E54000028,North London Partners In Health And Care  STP,542 549,501 863,21 841,18 845,April
1,STP,QMM,E54000022,Norfolk And Waveney Health And Care Partnership  STP,500 433,469 632,15 751,15 050,April
