source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month,Year
1,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,834 346,752 644,39 093,42 609,April,2024
1,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,802 091,717 544,32 216,52 331,April,2024
1,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,471 533,433 812,16 912,20 809,April,2024
1,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,570 991,519 365,17 600,34 026,April,2024
1,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",476 486,428 144,20 294,28 048,April,2024
1,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,752 601,669 540,44 670,38 391,April,2024
1,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,1 697 456,1 539 994,68 701,88 761,April,2024
1,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,578 772,528 087,18 655,32 030,April,2024
1,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,590 736,548 835,15 710,26 191,April,2024
1,ICB,QJK,E54000037,NHS Devon Integrated Care Board,759 664,689 534,24 211,45 919,April,2024
1,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,523 897,483 707,14 793,25 397,April,2024
1,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",641 285,580 933,23 770,36 582,April,2024
1,ICB,QKK,E54000030,NHS South East London Integrated Care Board,743 642,656 133,46 418,41 091,April,2024
1,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,924 789,829 106,37 313,58 370,April,2024
1,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,698 881,632 875,27 132,38 874,April,2024
1,ICB,QMF,E54000029,NHS North East London Integrated Care Board,995 766,881 622,62 251,51 893,April,2024
1,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,674 180,605 520,37 172,31 488,April,2024
1,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,612 444,554 179,21 662,36 603,April,2024
1,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,546 734,489 324,23 060,34 350,April,2024
1,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,386 346,348 878,18 185,19 283,April,2024
1,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,927 773,840 794,31 484,55 495,April,2024
1,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",261 637,238 977,9 580,13 080,April,2024
1,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,1 494 811,1 340 687,78 954,75 170,April,2024
1,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,978 677,901 461,30 569,46 647,April,2024
1,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",545 508,502 639,15 545,27 324,April,2024
1,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,391 989,361 622,12 491,17 876,April,2024
1,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,381 220,347 531,12 254,21 435,April,2024
1,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,962 721,868 876,39 907,53 938,April,2024
1,ICB,QRV,E54000027,NHS North West London Integrated Care Board,1 297 472,1 161 174,66 160,70 138,April,2024
1,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,327 290,295 617,13 067,18 606,April,2024
1,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,634 045,573 929,25 314,34 802,April,2024
1,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,374 238,339 142,12 946,22 150,April,2024
1,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",878 739,802 663,35 371,40 705,April,2024
1,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,630 867,563 271,32 902,34 694,April,2024
1,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,559 119,503 157,19 065,36 897,April,2024
1,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",514 919,471 320,24 312,19 287,April,2024
1,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,448 737,411 096,14 795,22 846,April,2024
1,ICB,QWE,E54000031,NHS South West London Integrated Care Board,730 851,654 395,36 405,40 051,April,2024
1,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,1 448 850,1 317 729,53 432,77 689,April,2024
1,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,483 995,435 876,22 262,25 857,April,2024
1,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,543 354,478 253,18 679,46 422,April,2024
1,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,1 281 413,1 151 837,61 968,67 608,April,2024
2,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,770 515,695 107,36 910,38 498,August,2024
2,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,727 577,652 675,28 822,46 080,August,2024
2,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,411 413,377 929,15 510,17 974,August,2024
2,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,517 255,471 560,15 833,29 862,August,2024
2,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",453 181,408 071,18 893,26 217,August,2024
2,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,691 950,613 844,41 759,36 347,August,2024
2,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,1 519 047,1 378 338,59 039,81 670,August,2024
2,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,536 107,488 677,16 687,30 743,August,2024
2,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,501 280,461 502,14 407,25 371,August,2024
2,ICB,QJK,E54000037,NHS Devon Integrated Care Board,697 981,638 400,20 977,38 604,August,2024
2,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,425 384,387 850,13 126,24 408,August,2024
2,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",599 580,542 546,22 397,34 637,August,2024
2,ICB,QKK,E54000030,NHS South East London Integrated Care Board,676 492,597 797,40 600,38 095,August,2024
2,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,825 567,735 103,33 902,56 562,August,2024
2,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,630 635,571 258,21 791,37 586,August,2024
2,ICB,QMF,E54000029,NHS North East London Integrated Care Board,944 276,831 855,61 715,50 706,August,2024
2,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,624 880,561 934,33 560,29 386,August,2024
2,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,556 870,503 123,18 067,35 680,August,2024
2,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,485 982,438 226,19 721,28 035,August,2024
2,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,352 743,317 748,17 208,17 787,August,2024
2,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,865 189,787 836,28 358,48 995,August,2024
2,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",238 345,217 799,9 076,11 470,August,2024
2,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,1 281 626,1 142 471,72 855,66 300,August,2024
2,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,882 367,810 627,25 934,45 806,August,2024
2,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",482 977,444 366,14 190,24 421,August,2024
2,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,371 562,343 082,11 822,16 658,August,2024
2,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,347 867,318 906,10 421,18 540,August,2024
2,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,871 018,782 939,38 215,49 864,August,2024
2,ICB,QRV,E54000027,NHS North West London Integrated Care Board,1 207 138,1 078 001,62 499,66 638,August,2024
2,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,257 687,234 012,10 619,13 056,August,2024
2,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,582 260,525 846,22 272,34 142,August,2024
2,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,342 319,310 997,11 334,19 988,August,2024
2,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",797 595,727 972,31 757,37 866,August,2024
2,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,594 912,527 242,30 484,37 186,August,2024
2,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,490 109,444 087,16 235,29 787,August,2024
2,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",446 959,404 357,20 974,21 628,August,2024
2,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,395 847,361 934,12 166,21 747,August,2024
2,ICB,QWE,E54000031,NHS South West London Integrated Care Board,662 887,598 973,35 092,28 822,August,2024
2,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,1 342 059,1 221 143,48 998,71 918,August,2024
2,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,437 514,389 508,19 427,28 579,August,2024
2,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,493 853,430 871,17 112,45 870,August,2024
2,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,1 171 799,1 055 226,57 469,59 104,August,2024
3,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,860 221,774 221,41 375,44 625,February,2024
3,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,796 218,713 303,32 113,50 802,February,2024
3,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,480 006,440 331,17 047,22 628,February,2024
3,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,577 180,524 098,17 235,35 847,February,2024
3,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",489 686,439 638,20 717,29 331,February,2024
3,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,765 347,676 136,47 392,41 819,February,2024
