source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month,Year,CCG_Name,ICB_Code,ICB_Name
1,CCG,00L,E38000130,NHS Northumberland CCG,149 739,142 927,3 540,3 272,April,2021,NHS Northumberland CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,00N,E38000163,NHS South Tyneside CCG,56 173,52 519,1 840,1 814,April,2021,NHS South Tyneside CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,00P,E38000176,NHS Sunderland CCG,112 434,104 060,5 150,3 224,April,2021,NHS Sunderland CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,00Q,E38000014,NHS Blackburn with Darwen CCG,67 489,62 263,2 563,2 663,April,2021,NHS Blackburn with Darwen CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,00R,E38000015,NHS Blackpool CCG,78 112,72 141,3 774,2 197,April,2021,NHS Blackpool CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,00T,E38000016,NHS Bolton CCG,129 785,114 417,7 524,7 844,April,2021,NHS Bolton CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,00V,E38000024,NHS Bury CCG,33 167,24 749,2 384,6 034,April,2021,NHS Bury CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,00X,E38000034,NHS Chorley and South Ribble CCG,64 941,59 247,2 781,2 913,April,2021,NHS Chorley and South Ribble CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,00Y,E38000135,NHS Oldham CCG,92 134,84 963,4 271,2 900,April,2021,NHS Oldham CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,01A,E38000050,NHS East Lancashire CCG,141 275,129 507,5 483,6 285,April,2021,NHS East Lancashire CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,01D,E38000080,"NHS Heywood, Middleton and Rochdale CCG",82 088,76 081,3 634,2 373,April,2021,"NHS Heywood, Middleton and Rochdale CCG",QOP,NHS Greater Manchester Integrated Care Board
1,CCG,01E,E38000227,NHS Greater Preston CCG,75 869,69 990,2 670,3 209,April,2021,NHS Greater Preston CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,01F,E38000068,NHS Halton CCG,49 998,44 840,2 111,3 047,April,2021,NHS Halton CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,01G,E38000143,NHS Salford CCG,102 730,89 599,5 251,7 880,April,2021,NHS Salford CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,01H,E38000215,NHS North Cumbria CCG,162 423,143 496,4 864,14 063,April,2021,NHS North Cumbria CCG,QHM,NHS North East and North Cumbria Integrated Care Board
1,CCG,01J,E38000091,NHS Knowsley CCG,64 443,59 464,2 818,2 161,April,2021,NHS Knowsley CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,01K,E38000228,NHS Morecambe Bay CCG,132 880,123 363,4 735,4 782,April,2021,NHS Morecambe Bay CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,01T,E38000161,NHS South Sefton CCG,49 573,46 147,1 777,1 649,April,2021,NHS South Sefton CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,01V,E38000170,NHS Southport and Formby CCG,50 371,46 697,1 469,2 205,April,2021,NHS Southport and Formby CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,01W,E38000174,NHS Stockport CCG,130 004,118 337,5 201,6 466,April,2021,NHS Stockport CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,01X,E38000172,NHS St Helens CCG,64 401,58 881,2 561,2 959,April,2021,NHS St Helens CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,01Y,E38000182,NHS Tameside and Glossop CCG,99 350,88 199,5 194,5 957,April,2021,NHS Tameside and Glossop CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,02A,E38000187,NHS Trafford CCG,60 313,53 182,3 472,3 659,April,2021,NHS Trafford CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,02E,E38000194,NHS Warrington CCG,89 642,84 200,2 023,3 419,April,2021,NHS Warrington CCG,QYG,NHS Cheshire and Merseyside Integrated Care Board
1,CCG,02G,E38000200,NHS West Lancashire CCG,42 149,38 851,1 389,1 909,April,2021,NHS West Lancashire CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,02H,E38000205,NHS Wigan Borough CCG,95 804,85 357,3 842,6 605,April,2021,NHS Wigan Borough CCG,QOP,NHS Greater Manchester Integrated Care Board
1,CCG,02M,E38000226,NHS Fylde and Wyre CCG,84 545,76 114,3 115,5 316,April,2021,NHS Fylde and Wyre CCG,QE1,NHS Lancashire and South Cumbria Integrated Care Board
1,CCG,02P,E38000006,NHS Barnsley CCG,112 713,103 470,4 240,5 003,April,2021,NA,NA,NA
1,CCG,02Q,E38000008,NHS Bassetlaw CCG,50 108,47 609,1 498,1 001,April,2021,NA,NA,NA
1,CCG,02T,E38000025,NHS Calderdale CCG,90 355,85 266,2 452,2 637,April,2021,NHS Calderdale CCG,QWO,NHS West Yorkshire Integrated Care Board
1,CCG,02X,E38000044,NHS Doncaster CCG,125 822,116 291,5 523,4 008,April,2021,NA,NA,NA
1,CCG,02Y,E38000052,NHS East Riding of Yorkshire CCG,134 324,125 994,5 174,3 156,April,2021,NA,NA,NA
1,CCG,03F,E38000085,NHS Hull CCG,106 874,98 883,5 124,2 867,April,2021,NA,NA,NA
1,CCG,03H,E38000119,NHS North East Lincolnshire CCG,86 388,80 899,2 329,3 160,April,2021,NA,NA,NA
1,CCG,03K,E38000122,NHS North Lincolnshire CCG,88 007,81 907,1 729,4 371,April,2021,NA,NA,NA
1,CCG,03L,E38000141,NHS Rotherham CCG,116 530,108 816,3 691,4 023,April,2021,NA,NA,NA
1,CCG,03N,E38000146,NHS Sheffield CCG,254 459,236 988,8 924,8 547,April,2021,NA,NA,NA
1,CCG,03Q,E38000188,NHS Vale of York CCG,136 058,129 742,3 604,2 712,April,2021,NA,NA,NA
1,CCG,03R,E38000190,NHS Wakefield CCG,175 205,165 757,4 399,5 049,April,2021,NHS Wakefield CCG,QWO,NHS West Yorkshire Integrated Care Board
1,CCG,03W,E38000051,NHS East Leicestershire and Rutland CCG,153 354,144 375,4 554,4 425,April,2021,NA,NA,NA
1,CCG,04C,E38000097,NHS Leicester City CCG,171 131,159 669,5 622,5 840,April,2021,NA,NA,NA
1,CCG,04V,E38000201,NHS West Leicestershire CCG,173 188,163 247,4 836,5 105,April,2021,NA,NA,NA
1,CCG,04Y,E38000028,NHS Cannock Chase CCG,52 339,46 536,2 994,2 809,April,2021,NA,NA,NA
1,CCG,05D,E38000053,NHS East Staffordshire CCG,56 442,50 283,2 135,4 024,April,2021,NA,NA,NA
1,CCG,05G,E38000126,NHS North Staffordshire CCG,74 418,68 095,2 705,3 618,April,2021,NA,NA,NA
1,CCG,05Q,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,79 397,70 886,6 289,2 222,April,2021,NA,NA,NA
1,CCG,05V,E38000173,NHS Stafford and Surrounds CCG,60 394,55 968,2 035,2 391,April,2021,NA,NA,NA
1,CCG,05W,E38000175,NHS Stoke on Trent CCG,98 646,84 457,9 508,4 681,April,2021,NA,NA,NA
1,CCG,06H,E38000026,NHS Cambridgeshire and Peterborough CCG,410 323,387 452,11 392,11 479,April,2021,NA,NA,NA
1,CCG,06K,E38000049,NHS East and North Hertfordshire CCG,226 309,210 068,5 531,10 710,April,2021,NA,NA,NA
1,CCG,06L,E38000086,NHS Ipswich and East Suffolk CCG,178 359,170 513,3 282,4 564,April,2021,NA,NA,NA
1,CCG,06N,E38000079,NHS Herts Valley CCG,230 199,212 275,8 387,9 537,April,2021,NA,NA,NA
1,CCG,06Q,E38000106,NHS Mid Essex CCG,154 635,147 683,3 166,3 786,April,2021,NA,NA,NA
1,CCG,06T,E38000117,NHS North East Essex CCG,156 413,145 235,6 894,4 284,April,2021,NA,NA,NA
1,CCG,07G,E38000185,NHS Thurrock CCG,68 540,64 618,1 205,2 717,April,2021,NA,NA,NA
