source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month
1,National,ENG,ENG,England,28 194 025,25 523 939,1 231 664,1 438 422,August
1,Region,Y56,E40000003,London,4 140 384,3 695 399,238 444,206 541,August
1,Region,Y58,E40000006,South West,3 069 098,2 805 115,108 500,155 483,August
1,Region,Y59,E40000005,South East,4 308 826,3 928 246,175 550,205 030,August
1,Region,Y60,E40000011,Midlands,5 495 886,4 978 679,237 075,280 132,August
1,Region,Y61,E40000007,East of England,3 243 944,2 947 676,114 455,181 813,August
1,Region,Y62,E40000010,North West,3 348 573,3 005 239,179 809,163 525,August
1,Region,Y63,E40000012,North East and Yorkshire,4 587 314,4 163 585,177 831,245 898,August
1,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,798 748,723 014,38 574,37 160,August
1,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,743 018,668 778,30 152,44 088,August
1,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,444 875,410 263,16 903,17 709,August
1,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,541 657,493 883,15 709,32 065,August
1,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",452 475,405 568,20 305,26 602,August
1,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,715 173,636 931,43 374,34 868,August
1,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,1 566 159,1 414 958,68 439,82 762,August
1,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,549 860,502 222,18 434,29 204,August
1,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,498 066,457 634,15 307,25 125,August
1,ICB,QJK,E54000037,NHS Devon Integrated Care Board,713 497,653 139,23 304,37 054,August
1,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,425 635,389 310,14 200,22 125,August
1,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",610 850,552 117,23 445,35 288,August
1,ICB,QKK,E54000030,NHS South East London Integrated Care Board,705 931,629 308,43 150,33 473,August
1,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,867 430,781 910,37 900,47 620,August
1,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,654 484,595 319,23 635,35 530,August
1,ICB,QMF,E54000029,NHS North East London Integrated Care Board,929 151,821 109,59 699,48 343,August
1,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,627 875,562 789,35 783,29 303,August
1,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,585 417,530 196,21 191,34 030,August
1,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,506 811,459 349,21 830,25 632,August
1,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,361 300,328 001,18 858,14 441,August
1,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,866 792,791 617,30 478,44 697,August
1,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",234 673,216 055,8 875,9 743,August
1,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,1 314 246,1 169 014,79 052,66 180,August
1,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,895 536,822 651,28 996,43 889,August
1,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",494 870,453 373,14 772,26 725,August
1,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,364 907,336 314,11 448,17 145,August
1,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,367 337,336 364,11 681,19 292,August
1,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,896 554,820 705,38 712,37 137,August
1,ICB,QRV,E54000027,NHS North West London Integrated Care Board,1 214 507,1 085 367,65 074,64 066,August
1,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,288 455,260 294,11 753,16 408,August
1,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,603 812,544 700,24 489,34 623,August
1,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,343 264,311 532,12 641,19 091,August
1,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",825 290,761 460,32 519,31 311,August
1,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,586 420,521 234,33 963,31 223,August
1,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,511 845,465 076,18 308,28 461,August
1,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",452 701,415 055,21 349,16 297,August
1,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,408 974,375 358,13 000,20 616,August
1,ICB,QWE,E54000031,NHS South West London Integrated Care Board,662 920,596 826,34 738,31 356,August
1,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,1 382 601,1 257 198,50 244,75 159,August
1,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,452 870,410 184,20 114,22 572,August
1,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,491 460,444 553,17 083,29 824,August
1,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,1 235 579,1 113 211,62 183,60 185,August
1,Sub ICB Location,00L,E38000130,NHS North East and North Cumbria ICB - 00L,179 839,165 121,6 541,8 177,August
1,Sub ICB Location,00N,E38000163,NHS North East and North Cumbria ICB - 00N,62 156,56 180,2 646,3 330,August
