source_file,Type,NHS_area_code,ONS_code,Name,Count_gp_appointments,Attended,Did_not_attend,Unknown,Month
1,National,ENG,ENG,England,25 326 945,23 326 754,1 074 474,925 717,February
1,Region,Y56,E40000003,London,3 764 311,3 414 427,202 143,147 741,February
1,Region,Y58,E40000006,South West,2 741 489,2 546 250,98 371,96 868,February
1,Region,Y59,E40000005,South East,3 843 820,3 544 776,154 889,144 155,February
1,Region,Y60,E40000008,Midlands,4 873 630,4 503 038,205 289,165 303,February
1,Region,Y61,E40000007,East of England,2 901 798,2 706 049,96 450,99 299,February
1,Region,Y62,E40000010,North West,3 058 252,2 764 444,159 986,133 822,February
1,Region,Y63,E40000009,North East and Yorkshire,4 143 645,3 847 770,157 346,138 529,February
1,STP,QE1,E54000048,Healthier Lancashire And South Cumbria  STP,747 013,681 548,33 767,31 698,February
1,STP,QF7,E54000009,South Yorkshire And Bassetlaw  STP,705 292,652 547,29 090,23 655,February
1,STP,QGH,E54000019,Herefordshire And Worcestershire  STP,404 049,376 275,15 889,11 885,February
1,STP,QH8,E54000026,Mid And South Essex  STP,482 596,452 780,13 309,16 507,February
1,STP,QHG,E54000024,"Bedfordshire, Luton And Milton Keynes  STP",419 345,389 974,16 278,13 093,February
1,STP,QHL,E54000017,Birmingham And Solihull  STP,559 504,508 138,32 183,19 183,February
1,STP,QHM,E54000050,Cumbria And North East  STP,1 439 488,1 330 642,59 148,49 698,February
1,STP,QJ2,E54000012,Joined Up Care Derbyshire  STP,492 542,459 214,15 203,18 125,February
1,STP,QJG,E54000023,Suffolk And North East Essex  STP,452 568,423 660,15 403,13 505,February
1,STP,QJK,E54000037,Devon  STP,635 095,590 610,22 303,22 182,February
1,STP,QJM,E54000013,Lincolnshire  STP,360 428,337 065,12 434,10 929,February
1,STP,QK1,E54000015,"Leicester, Leicestershire And Rutland  STP",539 308,504 868,19 616,14 824,February
1,STP,QKK,E54000030,Our Healthier South East London  STP,673 031,608 699,36 640,27 692,February
1,STP,QKS,E54000032,Kent And Medway  STP,794 640,723 862,34 447,36 331,February
1,STP,QM7,E54000025,Hertfordshire And West Essex  STP,604 401,560 507,20 001,23 893,February
1,STP,QMF,E54000029,East London Health And Care Partnership  STP,827 045,741 753,48 607,36 685,February
1,STP,QMJ,E54000028,North London Partners In Health And Care  STP,587 932,534 758,32 348,20 826,February
1,STP,QMM,E54000022,Norfolk And Waveney Health And Care Partnership  STP,514 797,479 493,17 258,18 046,February
1,STP,QNC,E54000010,Staffordshire And Stoke On Trent  STP,455 604,415 697,20 780,19 127,February
1,STP,QNQ,E54000034,Frimley Health And Care Ics  STP,320 586,296 903,13 762,9 921,February
1,STP,QNX,E54000053,Sussex Health And Care Partnership  STP,759 532,704 594,26 873,28 065,February
1,STP,QOC,E54000011,Shropshire And Telford And Wrekin  STP,220 679,205 046,8 259,7 374,February
1,STP,QOP,E54000007,Greater Manchester Health And Social Care Partnership  STP,1 186 324,1 060 079,68 720,57 525,February
1,STP,QOQ,E54000051,"Humber, Coast And Vale  STP",784 545,733 028,26 894,24 623,February
1,STP,QOX,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",447 972,419 434,12 947,15 591,February
1,STP,QPM,E54000020,Northamptonshire  STP,334 408,315 062,9 627,9 719,February
1,STP,QR1,E54000043,Gloucestershire  STP,314 131,293 853,10 961,9 317,February
1,STP,QRL,E54000042,Hampshire And The Isle Of Wight  STP,785 374,724 806,33 031,27 537,February
